id,should_trigger,prompt
research-01,true,"Map the state of the art for improving retrieval under domain shift."
research-02,true,"Find generalizable approaches to reduce hallucinations in RAG systems."
research-03,true,"Survey mechanisms that improve multilingual reranking with manageable serving cost."
research-04,true,"What research directions look most promising for long-context tool-using agents?"
research-05,true,"Compare solution families for data-efficient preference optimization in LLMs."
research-06,true,"I need an exploratory literature review on efficient inference for large language models."
research-07,true,"Find benchmarks, code, and reproducibility signals for recent memory-augmented reasoning methods."
research-08,true,"What mechanism classes should we investigate to improve information retrieval beyond task-specific heuristics?"
research-09,false,"What is information retrieval?"
research-10,false,"Summarize this one paper for me."
research-11,false,"Implement BM25 in Python."
research-12,false,"Give me three quick ideas for a startup in AI search."
research-13,false,"Who wrote the original transformer paper?"
research-14,false,"Fix this retrieval bug in my codebase."
